"","name","r0_low","r0_high"
"87","亳州",1.77,1.94
"88","黄山",1.42,1.5
"89","滁州",1.45,1.54
"90","六安",1.67,1.81
"91","宿州",1.6,1.73
"92","蚌埠",1.8,1.98
"93","淮南",1.49,1.59
"94","宣城",1.32,1.39
"95","淮北",1.56,1.68
"96","池州",1.45,1.54
"97","成都",1.83,2.01
"98","自贡",1.42,1.5
"99","攀枝花",1.45,1.54
"100","泸州",1.48,1.58
"101","德阳",1.46,1.56
"102","绵阳",1.54,1.65
"103","广元",1.35,1.43
"104","遂宁",1.32,1.39
"105","内江",1.52,1.63
"106","乐山",1.25,1.3
"107","南充",1.62,1.75
"108","宜宾",1.42,1.5
"109","广安",1.6,1.73
"110","达州",1.57,1.69
"111","巴中",1.55,1.66
"112","雅安",1.35,1.43
"113","眉山",1.32,1.39
"114","资阳",1.19,1.22
"115","阿坝州",1.08,1.1
"116","甘孜州",1.52,1.63
"117","凉山州",1.38,1.46
"118","济南",1.66,1.8
"119","青岛",1.68,1.82
"120","淄博",1.5,1.61
"121","枣庄",1.54,1.65
"122","烟台",1.62,1.75
"123","潍坊",1.6,1.73
"124","济宁",1.64,1.78
"125","泰安",1.55,1.66
"126","威海",1.62,1.75
"127","日照",1.49,1.59
"128","临沂",1.64,1.78
"129","德州",1.6,1.73
"130","聊城",1.55,1.66
"131","滨州",1.45,1.54
"132","菏泽",1.48,1.58
"133","长春",1.63,1.76
"134","四平",1.43,1.52
"135","吉林",1.32,1.39
"136","公主岭",1.29,1.35
"137","延边",1.32,1.39
"138","辽源",1.32,1.39
"139","松原",1.19,1.22
"140","通化",1.19,1.22
"141","福州",1.72,1.88
"142","莆田",1.67,1.82
"143","漳州",1.51,1.62
"144","泉州",1.66,1.8
"145","三明",1.45,1.54
"146","厦门",1.56,1.67
"147","南平",1.46,1.56
"148","龙岩",1.19,1.22
"149","宁德",1.51,1.62
"150","南昌",1.91,2.12
"151","赣州",1.73,1.89
"152","宜春",1.74,1.9
"153","九江",1.82,2
"154","抚州",1.72,1.88
"155","上饶",1.8,1.98
"156","新余",1.8,1.98
"157","吉安",1.51,1.62
"158","景德镇",1.29,1.35
"159","萍乡",1.58,1.7
"160","鹰潭",1.43,1.52
"161","南京",1.73,1.88
"162","无锡",1.62,1.75
"163","徐州",1.7,1.85
"164","常州",1.61,1.74
"165","苏州",1.76,1.93
"166","南通",1.61,1.74
"167","连云港",1.58,1.7
"168","淮安",1.65,1.79
"169","盐城",1.51,1.62
"170","扬州",1.52,1.63
"171","镇江",1.42,1.5
"172","泰州",1.61,1.74
"173","宿迁",1.46,1.56
"174","南宁",1.62,1.75
"175","柳州",1.55,1.66
"176","桂林",1.6,1.73
"177","北海",1.62,1.75
"178","河池",1.45,1.54
"179","防城港",1.5,1.61
"180","玉林",1.4,1.48
"181","梧州",1.32,1.39
"182","百色",1.25,1.3
"183","钦州",1.38,1.46
"184","贵港",1.38,1.46
"185","贺州",1.29,1.35
"186","来宾",1.19,1.22
"187","海口",1.56,1.67
"188","三亚",1.63,1.76
"189","儋州",1.45,1.54
"190","万宁",1.45,1.54
"191","琼海",1.35,1.43
"192","东方",1.25,1.3
"193","临高",1.32,1.39
"194","定安",1.25,1.3
"195","昌江",1.29,1.35
"196","澄迈",1.38,1.46
"197","陵水",1.29,1.35
"198","琼中",1.08,1.1
"199","乐东",1.08,1.1
"200","文昌",1.25,1.3
"201","保亭县",1.19,1.22
"202","西安",1.79,1.96
"203","安康",1.56,1.67
"204","铜川",1.4,1.48
"205","咸阳",1.5,1.61
"206","汉中",1.56,1.67
"207","渭南",1.42,1.5
"208","宝鸡",1.46,1.56
"209","延安",1.38,1.46
"210","商洛",1.38,1.46
"211","榆林",1.19,1.22
"212","韩城",1.08,1.1
"213","杨凌示范区",1.08,1.1
"214","石家庄",1.58,1.7
"215","廊坊",1.5,1.61
"216","沧州",1.57,1.69
"217","邯郸",1.56,1.68
"218","保定",1.53,1.64
"219","邢台",1.54,1.65
"220","衡水",1.38,1.46
"221","承德",1.35,1.43
"222","唐山",1.54,1.65
"223","张家口",1.48,1.58
"224","秦皇岛",1.32,1.39
"225","哈尔滨",1.82,1.99
"226","齐齐哈尔",1.6,1.73
"227","牡丹江",1.45,1.54
"228","佳木斯",1.48,1.58
"229","大庆",1.48,1.58
"230","鸡西",1.61,1.74
"231","双鸭山",1.65,1.79
"232","七台河",1.43,1.52
"233","鹤岗",1.19,1.22
"234","绥化",1.66,1.8
"235","大兴安岭",1.19,1.22
"236","黑河",1.08,1.1
"237","沈阳",1.57,1.69
"238","大连",1.49,1.59
"239","鞍山",1.25,1.3
"240","本溪",1.25,1.3
"241","丹东",1.38,1.46
"242","锦州",1.38,1.46
"243","营口",1.08,1.1
"244","阜新",1.38,1.46
"245","辽阳",1.19,1.22
"246","铁岭",1.25,1.3
"247","朝阳",1.35,1.43
"248","盘锦",1.45,1.54
"249","葫芦岛",1.38,1.46
"250","昆明",1.67,1.81
"251","临沧",1.08,1.1
"252","文山州",1.08,1.1
"253","丽江",1.38,1.46
"254","保山",1.42,1.5
"255","德宏州",1.32,1.39
"256","西双版纳",1.5,1.61
"257","曲靖",1.43,1.52
"258","玉溪",1.48,1.58
"259","红河州",1.32,1.39
"260","大理州",1.45,1.54
"261","昭通",1.43,1.52
"262","普洱",1.29,1.35
"263","楚雄州",1.29,1.35
"264","太原",1.45,1.54
"265","晋城",1.4,1.48
"266","朔州",1.29,1.35
"267","晋中",1.6,1.73
"268","运城",1.52,1.63
"269","忻州",1.25,1.3
"270","阳泉",1.29,1.35
"271","大同",1.42,1.5
"272","长治",1.32,1.39
"273","临汾",1.19,1.22
"274","吕梁",1.35,1.43
"275","张掖",1.19,1.22
"276","庆阳",1.19,1.22
"277","陇南",1.29,1.35
"278","金昌",1.08,1.1
"279","天水",1.43,1.52
"280","平凉",1.08,1.1
"281","甘南",1.25,1.3
"282","兰州",1.63,1.76
"283","临夏",1.25,1.3
"284","定西",1.32,1.39
"285","白银",1.29,1.35
"286","呼和浩特",1.38,1.46
"287","包头",1.42,1.5
"288","呼伦贝尔",1.32,1.39
"289","兴安盟",1.08,1.1
"290","通辽",1.19,1.22
"291","赤峰",1.29,1.35
"292","锡林郭勒",1.19,1.22
"293","鄂尔多斯",1.45,1.54
"294","巴彦淖尔",1.29,1.35
"295","乌兰察布",1.25,1.3
"296","乌海",1.19,1.22
"297","贵阳",1.53,1.64
"298","遵义",1.46,1.56
"299","六盘水",1.42,1.5
"300","安顺",1.29,1.35
"301","毕节",1.48,1.58
"302","铜仁",1.35,1.43
"303","黔南州",1.38,1.46
"304","黔西南州",1.25,1.3
"305","黔东南州",1.32,1.39
"306","拉萨",1.08,1.1
"307","西宁",1.5,1.61
"308","海北州",1.25,1.3
"309","乌鲁木齐",1.53,1.64
"310","伊犁州",1.42,1.5
"311","吐鲁番",1.08,1.1
"312","阿克苏",1.08,1.1
"313","昌吉",1.19,1.22
"314","第七师",1.08,1.1
"315","石河子",1.08,1.1
"316","第九师",1.29,1.35
"317","五家渠市",1.08,1.1
"318","巴州",1.08,1.1
"319","银川",1.6,1.73
"320","吴忠",1.42,1.5
"321","石嘴山",1.08,1.1
"322","固原",1.19,1.22
"323","中卫",1.25,1.3
"324","宁东",1.08,1.1
"325","北京",2.03,2.26
"326","上海",2.01,2.24
"327","天津",1.79,1.96
"328","重庆",2.09,2.34
"329","香港",1.58,1.7
"330","澳门",1.43,1.52
"331","台湾",1.51,1.62
